Questions/Prompt,Answer
What is a Transformer in the context of deep learning?,A Transformer is a deep neural network that uses a self-attention mechanism to understand contextual relationships in sequential data.
What are the key advantages of Transformers over traditional recurrent neural networks (RNNs) and LSTMs?,"Transformers excel at handling long dependencies between input sequence elements, enable parallel processing, and are faster to train due to parallel computation. They also better capture the true meaning of context. "
Name the top five application domains for transformer-based models identified in the survey.,"The top five application domains are Natural Language Processing (NLP), Computer Vision, Multi-Modality, Audio and Speech Processing, and Signal Processing. "
What are the two primary modules that constitute the initial transformer architecture?,The initial transformer architecture is composed of two main modules: an Encoder and a Decoder.
What is the mathematical formula for the Scaled Dot Product Attention function?,"The mathematical formula for the Scaled Dot Product Attention function is: Attention(Q,K,V)=softmax(dk​QKT​)V. "
Who won the 2025 ICC Women's Cricket World Cup?,"Australia are the defending champions going into the 2025 Women's Cricket World Cup. The tournament is scheduled from September 30 to November 2, 2025, hosted by India and Sri Lanka."
Which club secured the 2024-25 UEFA Champions League title?,"Paris Saint-Germain won the 2024-25 UEFA Champions League title, beating Inter Milan 5-0 in the final. This was their first UEFA Champions League title."
Which political party emerged as the largest in the February 2025 Delhi Assembly elections?,The Bharatiya Janata Party (BJP) won 48 seats in the February 2025 Delhi Assembly elections.
What is one key ethical challenge of generative AI and how can it be mitigated?,"A key ethical challenge is bias in AI-generated content due to biases in training data. Mitigation includes training models on diverse datasets, regular audits for fairness, and ensuring transparency."
What was the significant change in US environmental policy following the 2025 presidential inauguration?,"Following the 2025 inauguration, the US administration shifted federal energy and environmental policy in favor of fossil fuels and other conventional technologies. The US also withdrew from the Paris Climate Accord."
